"query","search interest","increase percent"
"can i take a bath after massage",2,"50%"
"mont albo massage",1,"30%"
"massage nearby",2,"30%"
"nuat thai price",2,"30%"
"blind massage near me",1,"30%"
"sebo massage",9,"30%"
"massage near me open now",2,"20%"
"sebo massage near me",2,"20%"
"nuat thai massage price",2,"20%"
"nuat thai massage",13,"20%"
"nuat thai",12,"20%"
"foot massage points",1,"20%"
"nuat thai near me",4,"20%"
"full body massage",10,"20%"
"prenatal massage",2,"10%"
"what is swedish massage",1,"10%"
"thai massage near me",6,"9%"
"ogawa massage chair",2,"9%"
"spa near me",15,"8%"
"thai massage",33,"7%"
"vibes massage",3,"6%"
"spa massage near me",15,"6%"
"massage spa near me",15,"6%"
"massage chair",20,"5%"
"massage therapist",18,"5%"
"ventosa massage",7,"5%"
"massage quezon city",5,"4%"
"swedish vs thai massage",2,"4%"
"can you take a bath after massage",1,"4%"
"massage makati",10,"4%"
"spa massage",94,"4%"
"home service massage near me",2,"3%"
"swedish massage vs thai massage",2,"3%"
"perineal massage",1,"3%"
"body massage",34,"3%"
"massage cebu",12,"3%"
"massage bgc",5,"3%"
"massage manila",17,"2%"
"ventosa",7,"2%"
"home service massage",10,"1%"
"massage place near me",1,"0%"
"swedish massage",12,"-1%"
"shiatsu massage",5,"-1%"
"lymphatic massage",9,"-1%"
"body scrub massage",2,"-2%"
"massage spa",91,"-3%"
"back massage pattern",0,"-6%"
"massage gun",8,"-6%"
"hot stone massage",2,"-6%"
"japanese massage",100,"-6%"
