"query","search interest","increase percent"
"japanese massage",100,"-6%"
"spa massage",94,"4%"
"massage spa",91,"-3%"
"massage near me",58,"-20%"
"body massage",34,"3%"
"thai massage",33,"7%"
"massage chair",20,"5%"
"massage therapist",18,"5%"
"massage manila",17,"2%"
"massage therapy",16,"-10%"
"spa near me",15,"8%"
"spa massage near me",15,"6%"
"massage spa near me",15,"6%"
"foot massage",15,"-20%"
"back massage",15,"-8%"
"nuat thai massage",13,"20%"
"nuat thai",12,"20%"
"massage cebu",12,"3%"
"swedish massage",12,"-1%"
"full body massage",10,"20%"
"home service massage",10,"1%"
"massage makati",10,"4%"
"lymphatic massage",9,"-1%"
"sebo massage",9,"30%"
"massage gun",8,"-6%"
"ventosa massage",7,"5%"
"ventosa",7,"2%"
"thai massage near me",6,"9%"
"lymphatic drainage massage",6,"-8%"
"massage bgc",5,"3%"
"shiatsu massage",5,"-1%"
"massage quezon city",5,"4%"
"hilot massage",5,"-7%"
"best massage near me",4,"-60%"
"nuat thai near me",4,"20%"
"deep tissue massage",3,"-9%"
"massage chair price",3,"-7%"
"massager",3,"-30%"
"vibes massage",3,"6%"
"thyme massage spa an",2,"-60%"
"nuat thai price",2,"30%"
"chang thai massage",2,"-10%"
"nuat thai massage price",2,"20%"
"can i take a bath after massage",2,"50%"
"home service massage near me",2,"3%"
"massage nearby",2,"30%"
"prenatal massage",2,"10%"
"hot stone massage",2,"-6%"
"ogawa massage chair",2,"9%"
"sebo massage near me",2,"20%"
